# Trip recorded by Car Stats Viewer v0.29.0.0019 (com.ixam97.carStatsViewer_dev)
#
# Vehicle brand and model: Polestar. Polestar (ihu_abl_car)
# Start timestamp: 1726563439239
# End timestamp: 1726664212681
# Trip type: 3
# Drive time: 31389914
# Used energy: 135915.16110147838
# Used SoC: 0.0
# Used Soc (Energy): 0.0
# Driven distance: 730146.7889205553
# Note:
# Last edited: 1726604529250

Timestamp;Energy delta;Distance delta;Point Marker Type;SoC;lat;lon;alt
1726566239828;6.7279;102.2640;;0.25;62.025417;7.570781;908
1726566244028;6.6407;101.8129;;0.25;62.025417;7.570781;908
1726566248328;15.3004;103.5736;;0.25;62.024986;7.572927;906
1726566252629;24.5719;103.2796;;0.25;62.024338;7.574779;906
1726566257028;29.4687;106.0326;;0.25;62.023487;7.576216;907
1726566261328;27.4128;103.9653;;0.25;62.022625;7.577640;909
1726566265628;27.2991;104.0306;;0.25;62.021885;7.579373;910
1726566269828;25.9917;101.6832;;0.25;62.021339;7.581390;911
1726566274029;24.7403;101.8872;;0.25;62.021339;7.581390;911
1726566279130;26.5328;123.7622;;0.25;62.020988;7.583599;911
1726566284328;22.9254;126.2259;;0.25;62.020863;7.585913;912
1726566288528;17.0776;101.8265;;0.25;62.020927;7.588245;912
1726566293730;24.9779;125.7561;;0.25;62.021027;7.590576;912
1726566297927;26.0895;101.3393;;0.25;62.020969;7.592896;913
1726566303127;35.2377;125.6044;;0.25;62.020676;7.595127;914
1726566307328;26.7600;101.6882;;0.25;62.020180;7.597201;916
1726566312528;31.3323;126.1317;;0.25;62.019638;7.599226;918
1726566317628;25.4026;123.8103;;0.25;62.019142;7.601311;919
1726566321929;20.1370;104.4221;;0.25;62.018715;7.603469;919
1726566326128;17.8391;101.8451;;0.25;62.018333;7.605660;919
1726566330528;15.6824;106.8420;;0.25;62.017902;7.607813;918
1726566334727;16.3358;101.7018;;0.25;62.017357;7.609845;918
1726566339030;17.3958;104.1192;;0.25;62.017357;7.609845;918
1726566343227;18.6244;101.6678;;0.25;62.016750;7.611778;918
1726566347427;17.1851;101.7513;;0.25;62.016167;7.613752;919
1726566351828;17.1450;106.6161;;0.24;62.015694;7.615864;918
1726566356028;13.9426;101.8271;;0.24;62.015362;7.618094;918
1726566361328;-2.2829;124.2669;;0.24;62.015167;7.620362;916
1726566366525;5.5947;118.0127;;0.24;62.014977;7.622553;915
1726566371928;-36.7946;108.4751;;0.24;62.014694;7.624608;915
1726566378131;1.5824;113.4060;;0.24;62.014362;7.626291;915
1726566384528;2.0787;116.3554;;0.24;62.014011;7.627882;914
1726566390828;-6.4558;115.5430;;0.24;62.013481;7.631191;909
1726566397228;-16.7242;117.1642;;0.24;62.013432;7.632944;906
1726566403429;-18.5400;113.0106;;0.24;62.013515;7.634695;901
1726566408629;27.9670;100.9821;;0.25;62.013706;7.636400;897
1726566413929;42.7353;120.4044;;0.24;62.013927;7.638213;893
1726566419228;27.8150;125.6613;;0.24;62.014183;7.640316;891
1726566424328;24.3438;122.6618;;0.24;62.014450;7.642518;890
1726566429523;20.9501;125.7957;;0.24;62.014721;7.644759;890
1726566433828;14.1641;104.2677;;0.24;62.014996;7.647014;890
1726566438029;10.9906;101.9078;;0.24;62.015240;7.649289;889
1726566443228;9.4241;126.5406;;0.24;62.015362;7.651611;888
